,gen,ref_consol,fun_consol,fun_consol
39,Acinetobacter,"(Cicconi et al) (Antharaman et al., 2016), FAPROTAXv1.1",non-N,aerobic_chemoheterotrophy aromatic_compound_degradation aromatic_hydrocarbon_degradation dark_sulfide_oxidation human_pathogens_all human_pathogens_nosocomia human_pathogens_pneumonia human_pathogens_septicemia manganese_oxidation nitrate_reduction plastic_degradation    
40,Acrocarpospora,FAPROTAXv1.1,denitrification,
41,Actinoallomurus,FAPROTAXv1.1,aerobic_chemoheterotrophy,
42,Actinobacillus,"(Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1",nirK norB animal_parasites_or_symbionts fumarate_respiration nitrate_reduction ureolysis          ,
43,Actinobacteria,"(Antharaman et al., 2016)",C_cycle N_cycle S_cycle H2_ox H2_prod C1_ox aerobic           ,
44,Actinobacteria_phylum_hgcI clade,0,varied,
45,Actinobaculum,FAPROTAXv1.1,fermentation,
46,Actinocatenispora,FAPROTAXv1.1,aerobic_chemoheterotrophy,N
47,Actinocorallia,FAPROTAXv1.1,denitrification,"urea, xylan"
48,Actinomadura,FAPROTAXv1.1,denitrification,"urea, xylan"
49,Actinomyces,"(Graf et al., 2014), FAPROTAXv1.1",nirK norB chitinolysis human_pathogens_all human_pathogens_septicemia nitrate_reduction          ,
50,Actinomycetaceae,FAPROTAXv1.1,fermentation,
51,Actinoplanes,"(Graf et al., 2014), FAPROTAXv1.1",nirK nitrate_reduction xylanolysis             ,
52,Actinopolymorpha,FAPROTAXv1.1,aerobic_chemoheterotrophy,"N, urea"
53,Actinopolyspora,FAPROTAXv1.1,xylanolysis,
54,Actinospicaceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,
55,Actinosynnema,"(Graf et al., 2014), FAPROTAXv1.1",nirK nitrate_reduction              ,
56,Actinotalea,"(Bagra et al., 1985). (Yi et al., 2007), FAPROTAXv1.1",cellulolysis,"N, xylan"
57,ADurb.Bin063-1,,varied_archaea,
58,Aequorivita,"(Graf et al., 2014)",nirK nosZ              ,
59,Aeriscardovia,FAPROTAXv1.1,fermentation,
60,Aerobacter,FAPROTAXv1.1,fermentation,
61,Aerococcaceae,FAPROTAXv1.1,fermentation,
62,Aerococcus,FAPROTAXv1.1,fermentation,
63,Aeromicrobium,FAPROTAXv1.1,cellulolysis,N 
64,Aeromonadaceae,FAPROTAXv1.1,fermentation,nitrate_reduction
65,Aeromonas,"{Janda, J. M. and S. L. Abbott (1998)} (Graf et al., 2014), FAPROTAXv1.1",non-N,animal_parasites_or_symbionts arsenate_detoxification chitinolysis DNRA fermentation human_pathogens_all human_pathogens_meningitis iron_respiration       
66,Aetherobacter,"(Garcia et al., 2016)",non-N,              
67,Afipia,"(Graf et al., 2014), FAPROTAXv1.1",nirK norB nosZ nitrate_reduction            ,
68,Agaricus,FAPROTAXv1.1,cellulolysis,
69,Agreia,FAPROTAXv1.1,aerobic_chemoheterotrophy,
70,Agrobacterium,"(Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1",non-N,arsenite_oxidation_detoxification dissimilatory oxidation of arsenite for energy not photosynthesis plant_pathogen plastic_degradation    
71,Agrococcus,FAPROTAXv1.1,aerobic_chemoheterotrophy,
72,Agromonas,FAPROTAXv1.1,aerobic_chemoheterotrophy,N2 fix
73,Agromyces,FAPROTAXv1.1,cellulolysis,"N, xylan"
74,Agromyces ulmi,FAPROTAXv1.1,xylanolysis,
75,Ajellomyces,"(Graf et al., 2014)",nirK norB              ,
76,Akkermansia,"(Derrien et al., 2004)",non-N,              
77,Akkermansiaceae,FAPROTAXv1.1,fermentation,
78,Albidiferax,FAPROTAXv1.1,fumarate_respiration,"Fe, Mn "
79,Alcaligenaceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,"N, parasite"
80,Alcaligenes,"(Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1",nirK norB nosZ arsenite_oxidation_detoxification dark_sulfide_oxidation human_pathogens_all nitrate_denitrification nitrate_reduction nitrate_respiration nitrite_denitrification plastic_degradation xylanolysis    ,
81,Alcanivoraceae,FAPROTAXv1.1,degradation,hydrocarbon
82,Alcanivorax,"(Graf et al., 2014), FAPROTAXv1.1",nirK norB nosZ aliphatic_non_methane_hydrocarbon_degradation oil_bioremediation           ,
83,Algiphilus,FAPROTAXv1.1,degradation,hydrocarbon
84,Algisphaera,FAPROTAXv1.1,aerobic_chemoheterotrophy,urea
85,Algorimarina,"(Kendall et al., 2006)",non-N,              
86,Alicycliphilus,"(Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1",nirK nirS norB nosZ nitrate_respiration           ,
87,Alicyclobacillaceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,
88,Alicyclobacillus,"(Wisotzkey et al., 1992) (Graf et al., 2014) , (Antharaman et al., 2016), FAPROTAXv1.1",denitrification,"Fe, S"
89,Aliivibrio,FAPROTAXv1.1,fermentation,nitrate_reduction
90,Alistipes,FAPROTAXv1.1,fermentation,human_gut
91,Alkalibacillus,FAPROTAXv1.1,denitrification,
92,Alkalibacterium,FAPROTAXv1.1,aerobic_chemoheterotrophy,cellulolysis
93,Alkalibaculum,FAPROTAXv1.1,H_ox,#REF!
94,Alkaliflexus,FAPROTAXv1.1,xylanolysis,
95,Alkalilimnicola,"(Jones et al., 2008) , (Graf et al., 2014)",norB nosZ             ,
96,Alkalimarinus,FAPROTAXv1.1,aerobic_chemoheterotrophy,fermentation
97,Alkaliphilus,FAPROTAXv1.1,fumarate_respiration,Fe
98,Alkalitalea,FAPROTAXv1.1,fermentation,xylanolysis
99,Alkanibacter,"(Friedrich and Lipski, 2008)",non-N,              
100,Alkanindiges,"{Bogan, B. W., et al. (2003)}, FAPROTAXv1.1",non-N,aliphatic_non_methane_hydrocarbon_degradation              
101,Allocatelliglobosispora,FAPROTAXv1.1,aerobic_chemoheterotrophy,
102,Allochromatium,FAPROTAXv1.1,S_oxidation,aerobic_anoxygenic_phototrophy
103,Allorhizobium,FAPROTAXv1.1,N2_fix,
104,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,"{Mousavi, S. A., et al. (2014)}",N2_fix,
105,Alloscardovia,FAPROTAXv1.1,fermentation,
106,Alphaproteobacteria,"(Antharaman et al., 2016), FAPROTAXv1.1",N_cycle S_cycle H2_ox H2_prod C1_ox aerobic dark_thiosulfate_oxidation dissimilatory oxidation of arsenite for energy not photosynthesis intracellular_parasites,
107,Altererythrobacter,"{Kwon, K. K., et al. (2007)}",non-N,              
108,Alterococcus,FAPROTAXv1.1,fermentation,
109,Alteromonadaceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,"cellulolysis, chitinolysis, N"
110,Alteromonas,FAPROTAXv1.1,aerobic_chemoheterotrophy,chitinolysis
111,Altuibacter,FAPROTAXv1.1,aerobic_chemoheterotrophy,
112,Alvinella,FAPROTAXv1.1,Mn_ox,
113,Ambiguous_taxa,,unclassified,
114,Aminobacter,FAPROTAXv1.1,denitrification,
115,Aminobacterium,FAPROTAXv1.1,fermentation,
116,Aminomonas,FAPROTAXv1.1,fermentation,
117,Ammonifex,FAPROTAXv1.1,H_ox,#REF!
118,Ammoniphilus,FAPROTAXv1.1,aerobic_chemoheterotrophy,
119,Amnibacterium,FAPROTAXv1.1,aerobic_chemoheterotrophy,
120,Amorphus,FAPROTAXv1.1,aerobic_chemoheterotrophy,urea
121,Amphibacillus,FAPROTAXv1.1,xylanolysis,
122,Amycolatopsis,FAPROTAXv1.1,aerobic_chemoheterotrophy,"urea, xylan"
123,Amycolicicoccus,FAPROTAXv1.1,aerobic_chemoheterotrophy,N
124,Anabaena,FAPROTAXv1.1,N2_fix,
125,Anaerobacillus,FAPROTAXv1.1,arsenate_respiration,fermentation nitrogen_fixation               
126,Anaerobaculum,FAPROTAXv1.1,fermentation,
127,Anaerobiospirillum,FAPROTAXv1.1,animal_parasites_or_symbionts,                
128,Anaerocellum,FAPROTAXv1.1,cellulolysis,
129,Anaerococcus,"(Ezaki et al., 2001), FAPROTAXv1.1",non-N,fermentation              
130,Anaerolinaceae WCHB1-05,"(Xia et al., 2016)",cellulolysis,
131,Anaerolinea,"(Graf et al., 2014) , (Antharaman et al., 2016), FAPROTAXv1.1",cellulolysis,fermentation
132,Anaerolineaceae,FAPROTAXv1.1,fermentation,
133,Anaeromyxobacter,"(He and Sanford, 2003) (Jones et al., 2008) , (Graf et al., 2014) , (Antharaman et al., 2016), FAPROTAXv1.1",denitrification,"arsenate, DNRA, Fe"
134,Anaerophaga,FAPROTAXv1.1,fermentation,
135,Anaeroplasmataceae,FAPROTAXv1.1,fermentation,
136,Anaerospora,"(Woo et al., 2005)_",non-N,              
137,Anaerotruncus,FAPROTAXv1.1,human_gut,
138,Anammoximicrobium,FAPROTAXv1.1,anammox,anammox
139,Anaplasmataceae,FAPROTAXv1.1,animal_parasites_or_symbionts,                
140,Ancalochloris,FAPROTAXv1.1,anoxygenic_photoautotrophy_S_oxidizing,                
141,Ancalomicrobium,FAPROTAXv1.1,aerobic_chemoheterotrophy,
142,Ancyclobacter,FAPROTAXv1.1,ureolysis,
143,Ancylobacter,FAPROTAXv1.1,aerobic_chemoheterotrophy,"H, S, arsenite, N"
144,Andreprevotia,FAPROTAXv1.1,aerobic_chemoheterotrophy,
145,Aneurinibacillus,FAPROTAXv1.1,ligninolysis,N
146,Angulomicrobium,FAPROTAXv1.1,aerobic_chemoheterotrophy,
147,Angustibacter,FAPROTAXv1.1,aerobic_chemoheterotrophy,
148,Anoxybacillus,FAPROTAXv1.1,denitrification,xylan
149,Antricoccus,FAPROTAXv1.1,aerobic_chemoheterotrophy,
150,Aphanothece,FAPROTAXv1.1,anoxygenic_photoautotrophy_H2_oxidizing,                
151,Aquabacter,FAPROTAXv1.1,denitrification,
152,Aquabacterium,"(Kalmbach et al., 1999), FAPROTAXv1.1",denitrification,Fe 
153,Aquabacteriuma,FAPROTAXv1.1,ureolysis,
154,Aquaspirillum,FAPROTAXv1.1,aerobic_chemoheterotrophy,"H, fumarate, N, urea"
155,Aquibacter,FAPROTAXv1.1,aerobic_chemoheterotrophy,N
156,Aquicella,"(Santos et al., 2003)",non-N,              
157,Aquifex,FAPROTAXv1.1,Fe_oxidation,"S, N"
158,Aquificaceae,FAPROTAXv1.1,H_ox,#REF!
159,Aquificae,FAPROTAXv1.1,denitrification,
160,Aquificales,FAPROTAXv1.1,S_oxidation,
161,Aquincola,FAPROTAXv1.1,aerobic_chemoheterotrophy,
162,Aquipuribacter,FAPROTAXv1.1,aerobic_chemoheterotrophy,N
163,Aquitalea,FAPROTAXv1.1,aerobic_chemoheterotrophy,"fermentation, N"
164,Arcanobacterium,FAPROTAXv1.1,denitrification,
165,Archaea,FAPROTAXv1.1,Archaea,aerobic_ammonia_oxidation
166,Archaeoglobaceae,FAPROTAXv1.1,chemoheterotrophy,chemoheterotrophy
167,Archaeoglobi,FAPROTAXv1.1,Fe,
168,Archaeoglobus,FAPROTAXv1.1,H_ox,#REF!
169,archaeon,"(Antharaman et al., 2016)",C_cycle S_cycle H2_ox H2_prod aerobic             ,
170,Archangium,FAPROTAXv1.1,cellulolysis,
171,Arcicella,FAPROTAXv1.1,aerobic_chemoheterotrophy,N
172,Arcobacter,"(Pati et al., 2010), FAPROTAXv1.1",denitrification,varied
173,Arctic96BD-19,FAPROTAXv1.1,S_oxidation,N
174,Arcticibacter,FAPROTAXv1.1,aerobic_chemoheterotrophy,cellulolysis
175,Ardenticatena,FAPROTAXv1.1,aerobic_chemoheterotrophy,"Fe, N  "
176,Arenibacter,FAPROTAXv1.1,denitrification,urea 
177,Arenicella,FAPROTAXv1.1,aerobic_chemoheterotrophy,chitinolysis
178,Arenimonas,"(Kwon et al., 2007), FAPROTAXv1.1",non-N,nitrate_reduction ureolysis             
179,Arhodomonas,FAPROTAXv1.1,aerobic_chemoheterotrophy,"N, urea"
180,Armatimonadetes,"(Antharaman et al., 2016)",C_cycle N_cycle S_cycle H2_ox H2_prod aerobic            ,
181,Aromatoleum,"(Graf et al., 2014)",nirS norB nosZ             ,
182,Arsenicicoccus,FAPROTAXv1.1,aerobic_chemoheterotrophy,N
183,Arsenicoccus,FAPROTAXv1.1,arsenate_detoxification,                
184,Arthrobacter,"(Graf et al., 2014), FAPROTAXv1.1",nitrite_oxidation,varied
185,Arthroderma,"(Graf et al., 2014)",nirK norB              ,
186,Aspergillus,"(Graf et al., 2014), FAPROTAXv1.1",nirK norB cellulolysis xylanolysis            ,
187,Asticcacaulis,FAPROTAXv1.1,aerobic_chemoheterotrophy,
188,Atopobium,"(Graf et al., 2014)",nirK               ,
189,Aurantimicrobium,"{kai, R., et al. (2015)}",non-N,              
190,Aurantimonas,FAPROTAXv1.1,aerobic_chemoheterotrophy,"Mn, urea"
191,Aureimonas,FAPROTAXv1.1,aerobic_chemoheterotrophy,
192,Aureispira,FAPROTAXv1.1,cellulolysis,
193,Aureitalea,FAPROTAXv1.1,aerobic_chemoheterotrophy,N 
194,Aureobacterium,FAPROTAXv1.1,plastic_degradation,
195,Austwickia,"(Graf et al., 2014)",nirK norB              ,
196,Avibacterium,"(Graf et al., 2014)",nirK               ,
197,Azoarcus,"(Reinhold-Hurek et al., 1993) (Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1",N2_fix,aerobic_chemoheterotrophy aromatic_compound_degradation aromatic_hydrocarbon_degradation dark_sulfide_oxidation dark_sulfite_oxidation dark_thiosulfate_oxidation fermentation nitrate_denitrification nitrate_reduction nitrate_respiration nitrite_respiration nitrogen_fixation    
198,Azospira,FAPROTAXv1.1,Fe_oxidation,N
199,Azospirillium,"(Jones et al., 2008)",nirS nosZ              ,
200,Azospirillum,"(Steenhoudt and Vanderleyden, 2000) (Graf et al., 2014), FAPROTAXv1.1",N2_fix,aerobic_chemoheterotrophy fermentation nitrate_denitrification nitrate_respiration nitrogen_fixation           
201,Azotobacter,FAPROTAXv1.1,aerobic_chemoheterotrophy,N
202,Azovibrio,"(Jones et al., 2008)",norB              ,
203,Bacillaceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,"fermentation, N"
204,Bacillales,FAPROTAXv1.1,Mn_ox,
205,Bacillus,"(Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1",denitrification,varied
206,Bacteria,FAPROTAXv1.1,aerobic_chemoheterotrophy,"Mn, S"
207,Bacteriodes,FAPROTAXv1.1,human_gut,
208,Bacteriovoracaceae,FAPROTAXv1.1,predatory_or_exoparasitic,
209,Bacteriovorax,"(Davidov and Jurkevitch, 2004), FAPROTAXv1.1",non-N,nitrate_reduction              
210,Bacterium,FAPROTAXv1.1,Mn_ox,
211,Bacteroidaceae,FAPROTAXv1.1,fermentation,
212,Bacteroides,", FAPROTAXv1.1",non-N,cellulolysis human_gut human_pathogens_all human_pathogens_diarrhea ureolysis xylanolysis         
213,Bacteroidetes,"(Antharaman et al., 2016), FAPROTAXv1.1",N_fix N_cycle S_cycle Fe_Cycle H2_ox H2_prod C1_ox aerobic aerobic_chemoheterotrophy       ,
214,Balneola,FAPROTAXv1.1,aerobic_chemoheterotrophy,
215,Bauldia,"{Yee, B., et al. (2010)}, FAPROTAXv1.1",non-N,aerobic_chemoheterotrophy methanol_oxidation             
216,Bdellovibrio,"(Jones et al., 2008) , (Graf et al., 2014)",non-N,              
217,Bdellovibrionaceae,FAPROTAXv1.1,predatory_or_exoparasitic,
218,Bdellovibrionales,"(Antharaman et al., 2016)",C_cycle N_fix N_cycle S_cycle Fe_Cycle H2_ox H2_prod C1_ox aerobic         ,
219,Beggiatoa,FAPROTAXv1.1,ureolysis,
220,Beijerinckiaceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,"methyl, N2 fix"
221,Belliella,"(Graf et al., 2014)",nirK nosZ              ,
222,Betaproteobacteria,"(Antharaman et al., 2016), FAPROTAXv1.1",C_cycle N_cycle S_cycle Fe_Cycle H2_ox H2_prod C1_ox aerobic arsenite_oxidation_detoxification dark_iron_oxidation dark_thiosulfate_oxidation nitrate_reduction nitrate_respiration     ,
223,Betaproteobacterium,FAPROTAXv1.1,Fe_oxidation,N
224,Beutenbergia,FAPROTAXv1.1,denitrification,
225,Bhargavaea,FAPROTAXv1.1,aerobic_chemoheterotrophy,N
226,Bifidobacteriaceae,FAPROTAXv1.1,fermentation,
227,Bifidobacterium,"(Graf et al., 2014), FAPROTAXv1.1",non-N,fermentation human_gut human_pathogens_all ureolysis xylanolysis          
228,Bizionia,"(Graf et al., 2014), FAPROTAXv1.1",nirK norB nosZ ureolysis            ,
229,Blastobacter,FAPROTAXv1.1,methanol_oxidation,N
230,Blastocatella,FAPROTAXv1.1,aerobic_chemoheterotrophy,"cellulolysis, chitinolysis"
231,Blastocatellaceae_family_JGI 0001001-H03,,varied,
232,Blastochloris,FAPROTAXv1.1,anoxygenic_photoautotrophy_S_oxidizing,aromatic_hydrocarbon_degradation photoheterotrophy               
233,Blastococcus,"(Graf et al., 2014), FAPROTAXv1.1",nirK aerobic_chemoheterotrophy              ,
234,Blastomonas,FAPROTAXv1.1,aerobic_photoheterotroph,aerobic_anoxygenic_phototrophy
235,Blattabacteriaceae,FAPROTAXv1.1,ureolysis,
236,Blautia,"(Liu et al., 2008) (Mller and Frerichs, 2013), FAPROTAXv1.1",denitrification,"H, fermentation, acetogenesis"
237,Blvii28,,non-N,              
238,Bogoriellaceae,FAPROTAXv1.1,fermentation,
239,Bordetella,"(Graf et al., 2014), FAPROTAXv1.1",nirS norB nosZ human_pathogens_all ureolysis           ,
240,Borrelia,FAPROTAXv1.1,fermentation,
241,Bosea,"(Das et al., 1996) (Jones et al., 2008), FAPROTAXv1.1",thiosulfate_oxidation,Mn
242,Brachybacterium,"(Graf et al., 2014), FAPROTAXv1.1",nirK norB cellulolysis nitrate_reduction ureolysis           ,
243,Brachymonas,FAPROTAXv1.1,aerobic_chemoheterotrophy,"degradation, N"
244,Brachyspira,FAPROTAXv1.1,human_pathogens_all,human_pathogens_diarrhea
245,Bradyrhizobiaceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,"N, urea, pathogen, parasite"
246,Bradyrhizobium,"(Jordan, 1982) (Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1",N2_fix,aerobic_chemoheterotrophy nitrate_denitrification nitrate_respiration nitrogen_fixation            
247,Brenneria,FAPROTAXv1.1,fermentation,"pathogen, urea"
248,Brevibacillus,FAPROTAXv1.1,invertebrate_parasites,"N, plant_pathogen, urea"
249,Brevibacteriaceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,
250,Brevibacterium,FAPROTAXv1.1,chitinolysis,"fermentation, methanol, N"
251,Brevundimonas,"(Graf et al., 2014), FAPROTAXv1.1",nirK plant_pathogen              ,
252,Brocadia,FAPROTAXv1.1,anammox,anammox
253,Brocadiaceae,FAPROTAXv1.1,anammox,anammox
254,Brucella,"(Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1",nirK norB nosZ human_pathogens_all            ,
255,Brucellaceae,FAPROTAXv1.1,animal_parasites_or_symbionts,intracellular_parasites nitrate_respiration               
256,Bryobacter,"{Kulichevskaya, I. S., et al. (2010)}, FAPROTAXv1.1",non-N,aerobic_chemoheterotrophy              
257,Bryocella,FAPROTAXv1.1,aerobic_chemoheterotrophy,
258,Burgholderia,FAPROTAXv1.1,N2_fix,
259,Burkholderia,"(Yabuuchi et al., 1992) (Graf et al., 2014), FAPROTAXv1.1",non-N,aerobic_chemoheterotrophy aerobic_nitrite_oxidation animal_parasites_or_symbionts aromatic_compound_degradation aromatic_hydrocarbon_degradation chitinolysis dark_sulfite_oxidation dark_sulfur_oxidation dark_thiosulfate_oxidation human_pathogens_all human_pathogens_pneumonia nitrate_reduction nitrate_respiration nitrogen_fixation plant_pathogen
260,Burkholderiaceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,"fermentation, N"
261,Burkholderiales,"(Graf et al., 2014) , (Antharaman et al., 2016), FAPROTAXv1.1",nirS norB C_fix N_fix N_cycle S_cycle Fe_Cycle H2_ox H2_prod C1_ox aerobic human_pathogens_all human_pathogens_pneumonia   ,
262,Butyribacterium,FAPROTAXv1.1,reductive_acetogenesis,
263,Butyrivibrio,", FAPROTAXv1.1",cellulolysis,xylan
264,Butyvivibrio,FAPROTAXv1.1,fermentation,
265,Byssophaga,FAPROTAXv1.1,cellulolysis,
266,Byssovorax,FAPROTAXv1.1,cellulolysis,
267,C39,,non-N,              
268,Caldalkalibacillus,"(Graf et al., 2014)",nirK               ,
269,Caldanaerobacter,", FAPROTAXv1.1",cellulolysis,S 
270,Caldiarchaeum,"(Takami et al., 2015)",aerobic_chemoheterotrophy,aerobic_ammonia_oxidation
271,Caldibacillus,FAPROTAXv1.1,cellulolysis,
272,Caldicellulosiruptor,", FAPROTAXv1.1",cellulolysis,xylan
273,Caldicoprobacter,FAPROTAXv1.1,fermentation,xylanolysis
274,Caldilinea,"(Graf et al., 2014)",nosZ              ,
275,Caldimicrobium,FAPROTAXv1.1,H_ox,#REF!
276,Caldimonas,FAPROTAXv1.1,Mn_ox,
277,Calditerrivibrio,FAPROTAXv1.1,DNRA,
278,Caldithrix,"(Antharaman et al., 2016), FAPROTAXv1.1",H2_ox,H2_prod
279,Caldivirga,"(Jones et al., 2008), FAPROTAXv1.1",nirK norB sulfate_respiration sulfur_respiration thiosulfate_respiration           ,
280,Caldocellum,FAPROTAXv1.1,cellulolysis,xylan
281,Caloramator,FAPROTAXv1.1,fermentation,"acetogenesis, xylan"
282,Calymmatobacterium,FAPROTAXv1.1,human_pathogens_all,
283,Caminibacter,FAPROTAXv1.1,H_ox,#REF!
284,Campylobacter,"(Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1",norB nosZ dissimilatory sulfite reduction fumarate_respiration human_gut human_pathogens_all human_pathogens_diarrhea human_pathogens_gastroenteritis human_pathogens_meningitis human_pathogens_septicemia nitrate_reduction nitrate_respiration nitrite_ammonification,
285,Campylobacteraceae,FAPROTAXv1.1,animal_parasites_or_symbionts,sulfur_respiration                
286,candidate division CPR2,"(Antharaman et al., 2016)",S_cycle H2_ox H2_prod aerobic   ,
287,candidate division CPR3,"(Antharaman et al., 2016)",aerobic_chemoheterotrophy,aerobic
288,candidate division Kaza,"(Antharaman et al., 2016)",aerobic_chemoheterotrophy,aerobic
289,candidate division KSB1,"(Antharaman et al., 2016)",H2_ox,H2_prod
290,candidate division NC1,"(Antharaman et al., 2016)",N_cycle Fe_Cycle C1_ox aerobic            ,
291,candidate division TM6,"(Antharaman et al., 2016)",aerobic_chemoheterotrophy,aerobic
292,candidate division WOR-1,"(Antharaman et al., 2016)",S_cycle H2_ox H2_prod C1_ox aerobic  ,
293,candidate division WOR-3,"(Antharaman et al., 2016)",H2_ox,
294,candidate division WS6,"(Antharaman et al., 2016)",S_cycle aerobic     ,
295,candidate division WWE3,"(Antharaman et al., 2016)",S_cycle H2_ox H2_prod aerobic   ,
296,candidate division Zixibacteria,"(Antharaman et al., 2016)",N_fix N_cycle S_cycle Fe_Cycle H2_ox H2_prod aerobic         ,
297,Candidatus Abawacabacteria,"(Antharaman et al., 2016)",aerobic_chemoheterotrophy,aerobic
298,Candidatus Accumulibacter,"{Mao, Y., et al. (2015)} (Graf et al., 2014)",Polyphosphate-accumulating,
299,Candidatus Adlerbacteria,"(Antharaman et al., 2016)",aerobic_chemoheterotrophy,aerobic
300,Candidatus Amesbacteria,"(Antharaman et al., 2016)",S_cycle aerobic     ,
301,Candidatus Aminicenantes,"(Antharaman et al., 2016)",C_cycle N_cycle S_cycle Fe_Cycle H2_ox H2_prod aerobic           ,
302,Candidatus Andersenbacteria,"(Antharaman et al., 2016)",S_cycle H2_ox H2_prod aerobic   ,
303,Candidatus Atribacteria,"(Antharaman et al., 2016)",H2_prod,
304,Candidatus Azambacteria,"(Antharaman et al., 2016)",N_cycle S_cycle H2_ox H2_prod aerobic           ,
305,Candidatus babela,"(Pagnier et al., 2015)",non-N,              
306,Candidatus Bathyarchaeota,"(Antharaman et al., 2016)",C_cycle S_cycle Fe_Cycle H2_ox H2_prod C1_ox aerobic           ,
307,Candidatus Beckwithbacteria,"(Antharaman et al., 2016)",S_cycle H2_ox H2_prod aerobic   ,
308,Candidatus Berkelbacteria,"(Antharaman et al., 2016)",S_cycle H2_ox H2_prod aerobic   ,
