,gen,ref_consol,fun_consol,fun_consol,
70,Agrobacterium,(Graf et al. 2014; Jones et al. 2008; Louca et al. 2016),non-N,arsenite_oxidation_detoxification dissimilatory oxidation of arsenite for energy not photosynthesis plant_pathogen plastic_degradation    ,
71,Agrococcus,(Louca et al. 2016),aerobic_chemoheterotrophy,,
72,Agromonas,(Louca et al. 2016),aerobic_chemoheterotrophy,N2 fix,
73,Agromyces,(Louca et al. 2016),cellulolysis,"N, xylan",
74,Agromyces ulmi,(Louca et al. 2016),xylanolysis,,
75,Ajellomyces,"(Graf et al., 2014)",nirK norB              ,,
76,Akkermansia,(Derrien et al. 2004) ,non-N,              ,
77,Akkermansiaceae,(Louca et al. 2016),fermentation,,
78,Albidiferax,(Louca et al. 2016),fumarate_respiration,"Fe, Mn ",
79,Alcaligenaceae,(Louca et al. 2016),aerobic_chemoheterotrophy,"N, parasite",
80,Alcaligenes,(Graf et al. 2014; Jones et al. 2008; Louca et al. 2016),nirK norB nosZ arsenite_oxidation_detoxification dark_sulfide_oxidation human_pathogens_all nitrate_denitrification nitrate_reduction nitrate_respiration nitrite_denitrification plastic_degradation xylanolysis    ,,
81,Alcanivoraceae,(Louca et al. 2016),degradation,hydrocarbon,
82,Alcanivorax,"(Graf et al., 2014; Louca et al., 2014)",nirK norB nosZ aliphatic_non_methane_hydrocarbon_degradation oil_bioremediation           ,,
83,Algiphilus,(Louca et al. 2016),degradation,hydrocarbon,
84,Algisphaera,(Louca et al. 2016),aerobic_chemoheterotrophy,urea,
85,Algorimarina,(Kendall et al. 2006),non-N,              ,
86,Alicycliphilus,(Graf et al. 2014; Jones et al. 2008; Louca et al. 2016),nirK nirS norB nosZ nitrate_respiration           ,,
87,Alicyclobacillaceae,(Louca et al. 2016),aerobic_chemoheterotrophy,,
88,Alicyclobacillus,(Anantharaman et al. 2016; Graf et al. 2014a; Louca et al. 2016; Wisotzkey et al. 1992),denitrification,"Fe, S",
89,Aliivibrio,(Louca et al. 2016),fermentation,nitrate_reduction,
90,Alistipes,(Louca et al. 2016),fermentation,human_gut,
91,Alkalibacillus,(Louca et al. 2016),denitrification,,
92,Alkalibacterium,(Louca et al. 2016),aerobic_chemoheterotrophy,cellulolysis,
93,Alkalibaculum,(Louca et al. 2016),H_ox,#REF!,
94,Alkaliflexus,(Louca et al. 2016),xylanolysis,,
95,Alkalilimnicola,"(Jones et al., 2008; Graf et al., 2014)",norB nosZ             ,,
96,Alkalimarinus,(Louca et al. 2016),aerobic_chemoheterotrophy,fermentation,
97,Alkaliphilus,(Louca et al. 2016),fumarate_respiration,Fe,
98,Alkalitalea,(Louca et al. 2016),fermentation,xylanolysis,
99,Alkanibacter,(Friedrich and Lipski 2008),non-N,              ,
100,Alkanindiges,(Bogan et al. 2003; Louca et al. 2016),non-N,aliphatic_non_methane_hydrocarbon_degradation              ,
101,Allocatelliglobosispora,(Louca et al. 2016),aerobic_chemoheterotrophy,,
102,Allochromatium,(Louca et al. 2016),S_oxidation,aerobic_anoxygenic_phototrophy,
103,Allorhizobium,(Louca et al. 2016),N2_fix,,
104,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,(Mousavi et al. 2014),N2_fix,,
105,Alloscardovia,(Louca et al. 2016),fermentation,,
106,Alphaproteobacteria,"(_Anantharaman et al., 2016; Louca et al., 2014)",N_cycle S_cycle H2_ox H2_prod C1_ox aerobic dark_thiosulfate_oxidation dissimilatory oxidation of arsenite for energy not photosynthesis intracellular_parasites,,
107,Altererythrobacter,(Kwon et al. 2007a),non-N,              ,
108,Alterococcus,(Louca et al. 2016),fermentation,,
109,Alteromonadaceae,(Louca et al. 2016),aerobic_chemoheterotrophy,"cellulolysis, chitinolysis, N",
110,Alteromonas,(Louca et al. 2016),aerobic_chemoheterotrophy,chitinolysis,
111,Altuibacter,(Louca et al. 2016),aerobic_chemoheterotrophy,,
112,Alvinella,(Louca et al. 2016),Mn_ox,,
113,Ambiguous_taxa,,unclassified,,
114,Aminobacter,(Louca et al. 2016),denitrification,,
115,Aminobacterium,(Louca et al. 2016),fermentation,,
116,Aminomonas,(Louca et al. 2016),fermentation,,
117,Ammonifex,(Louca et al. 2016),H_ox,#REF!,
118,Ammoniphilus,(Louca et al. 2016),aerobic_chemoheterotrophy,,
119,Amnibacterium,(Louca et al. 2016),aerobic_chemoheterotrophy,,
120,Amorphus,(Louca et al. 2016),aerobic_chemoheterotrophy,urea,
121,Amphibacillus,(Louca et al. 2016),xylanolysis,,
122,Amycolatopsis,(Louca et al. 2016),aerobic_chemoheterotrophy,"urea, xylan",
123,Amycolicicoccus,(Louca et al. 2016),aerobic_chemoheterotrophy,N,
124,Anabaena,(Louca et al. 2016),N2_fix,,
125,Anaerobacillus,(Louca et al. 2016),arsenate_respiration,fermentation nitrogen_fixation               ,
126,Anaerobaculum,(Louca et al. 2016),fermentation,,
127,Anaerobiospirillum,(Louca et al. 2016),animal_parasites_or_symbionts,                ,
128,Anaerocellum,(Louca et al. 2016),cellulolysis,,
129,Anaerococcus,(Ezaki et al. 2001; Louca et al. 2016),non-N,fermentation              ,
130,Anaerolinaceae WCHB1-05,(Xia et al. 2016),cellulolysis,,
131,Anaerolinea,"(_Graf et al., 2014; Louca et al., 2014; _Anantharaman et al., 2016)",cellulolysis,fermentation,
132,Anaerolineaceae,(Louca et al. 2016),fermentation,,
133,Anaeromyxobacter,(Anantharaman et al. 2016; He and Sanford 2003; Jones et al. 2008),denitrification,"arsenate, DNRA, Fe_red, fumarate",
134,Anaerophaga,(Louca et al. 2016),fermentation,,
135,Anaeroplasmataceae,(Louca et al. 2016),fermentation,,
136,Anaerospora,(Woo et al. 2005),non-N,              ,
137,Anaerotruncus,(Louca et al. 2016),human_gut,,
138,Anammoximicrobium,(Louca et al. 2016),anammox,anammox,
139,Anaplasmataceae,(Louca et al. 2016),animal_parasites_or_symbionts,                ,
140,Ancalochloris,(Louca et al. 2016),anoxygenic_photoautotrophy_S_oxidizing,                ,
141,Ancalomicrobium,(Louca et al. 2016),aerobic_chemoheterotrophy,,
142,Ancyclobacter,(Louca et al. 2016),ureolysis,,
143,Ancylobacter,(Louca et al. 2016),aerobic_chemoheterotrophy,"H, S, arsenite, N",
144,Andreprevotia,(Louca et al. 2016),aerobic_chemoheterotrophy,,
145,Aneurinibacillus,(Louca et al. 2016),ligninolysis,N,
146,Angulomicrobium,(Louca et al. 2016),aerobic_chemoheterotrophy,,
147,Angustibacter,(Louca et al. 2016),aerobic_chemoheterotrophy,,
148,Anoxybacillus,(Louca et al. 2016),denitrification,xylan,
149,Antricoccus,(Louca et al. 2016),aerobic_chemoheterotrophy,,
150,Aphanothece,(Louca et al. 2016),anoxygenic_photoautotrophy_H2_oxidizing,                ,
151,Aquabacter,(Louca et al. 2016),denitrification,,
152,Aquabacterium,(Kalmbach et al. 1999; Louca et al. 2016),denitrification,Fe ,
153,Aquabacteriuma,(Louca et al. 2016),ureolysis,,
154,Aquaspirillum,(Louca et al. 2016),aerobic_chemoheterotrophy,"H, fumarate, N, urea",
155,Aquibacter,(Louca et al. 2016),aerobic_chemoheterotrophy,N,
156,Aquicella,(Santos et al. 2003),non-N,              ,
157,Aquifex,(Louca et al. 2016),Fe_oxidation,"S, N",
158,Aquificaceae,(Louca et al. 2016),H_ox,#REF!,
159,Aquificae,(Louca et al. 2016),denitrification,,
160,Aquificales,(Louca et al. 2016),S_oxidation,,
161,Aquincola,(Louca et al. 2016),aerobic_chemoheterotrophy,,
162,Aquipuribacter,(Louca et al. 2016),aerobic_chemoheterotrophy,N,
163,Aquitalea,(Louca et al. 2016),aerobic_chemoheterotrophy,"fermentation, N",
164,Arcanobacterium,(Louca et al. 2016),denitrification,,
165,Archaea,(Louca et al. 2016),Archaea,aerobic_ammonia_oxidation,
166,Archaeoglobaceae,(Louca et al. 2016),chemoheterotrophy,chemoheterotrophy,
167,Archaeoglobi,(Louca et al. 2016),Fe,,
168,Archaeoglobus,(Louca et al. 2016),H_ox,#REF!,
169,archaeon,"(_Anantharaman et al., 2016)",C_cycle S_cycle H2_ox H2_prod aerobic             ,,
170,Archangium,(Louca et al. 2016),cellulolysis,,
171,Arcicella,(Louca et al. 2016),aerobic_chemoheterotrophy,N,
172,Arcobacter,(Louca et al. 2016; Pati et al. 2010),denitrification,N2_fix,
173,Arctic96BD-19,(Louca et al. 2016),S_oxidation,N,
174,Arcticibacter,(Louca et al. 2016),aerobic_chemoheterotrophy,cellulolysis,
175,Ardenticatena,(Louca et al. 2016),aerobic_chemoheterotrophy,"Fe, N  ",
176,Arenibacter,(Louca et al. 2016),denitrification,urea ,
177,Arenicella,(Louca et al. 2016),aerobic_chemoheterotrophy,chitinolysis,
178,Arenimonas,(Kwon et al. 2007; Louca et al. 2016),non-N,nitrate_reduction ureolysis             ,
179,Arhodomonas,(Louca et al. 2016),aerobic_chemoheterotrophy,"N, urea",
180,Armatimonadetes,"(_Anantharaman et al., 2016)",C_cycle N_cycle S_cycle H2_ox H2_prod aerobic            ,,
181,Aromatoleum,"(Graf et al., 2014)",nirS norB nosZ             ,,
182,Arsenicicoccus,(Louca et al. 2016),aerobic_chemoheterotrophy,N,
183,Arsenicoccus,(Louca et al. 2016),arsenate_detoxification,                ,
184,Arthrobacter,"(Graf et al., 2014; Louca et al., 2014)",nitrite_oxidation,varied,
185,Arthroderma,"(Graf et al., 2014)",nirK norB              ,,
186,Aspergillus,"(Graf et al., 2014; Louca et al., 2014)",nirK norB cellulolysis xylanolysis            ,,
187,Asticcacaulis,(Louca et al. 2016),aerobic_chemoheterotrophy,,
188,Atopobium,"(Graf et al., 2014)",nirK               ,,
189,Aurantimicrobium,(Nakai et al. 2015),non-N,              ,
190,Aurantimonas,(Louca et al. 2016),aerobic_chemoheterotrophy,"Mn, urea",
191,Aureimonas,(Louca et al. 2016),aerobic_chemoheterotrophy,,
192,Aureispira,(Louca et al. 2016),cellulolysis,,
193,Aureitalea,(Louca et al. 2016),aerobic_chemoheterotrophy,N ,
194,Aureobacterium,(Louca et al. 2016),plastic_degradation,,
195,Austwickia,"(Graf et al., 2014)",nirK norB              ,,
196,Avibacterium,"(Graf et al., 2014)",nirK               ,,
197,Azoarcus,(Graf et al. 2014; Jones et al. 2008; Louca et al. 2016; Reinhold-Hurek et al. 1993),N2_fix,aerobic_chemoheterotrophy aromatic_compound_degradation aromatic_hydrocarbon_degradation dark_sulfide_oxidation dark_sulfite_oxidation dark_thiosulfate_oxidation fermentation nitrate_denitrification nitrate_reduction nitrate_respiration nitrite_respiration nitrogen_fixation    ,
198,Azospira,(Louca et al. 2016),Fe_oxidation,N,
199,Azospirillium,"(Jones et al., 2008)",nirS nosZ              ,,
200,Azospirillum,(Graf et al. 2014a; Louca et al. 2016; Steenhoudt and Vanderleyden 2000),N2_fix,aerobic_chemoheterotrophy fermentation nitrate_denitrification nitrate_respiration nitrogen_fixation           ,
201,Azotobacter,(Louca et al. 2016),aerobic_chemoheterotrophy,N,
202,Azovibrio,"(Jones et al., 2008)",norB              ,,
203,Bacillaceae,(Louca et al. 2016),aerobic_chemoheterotrophy,"fermentation, N",
204,Bacillales,(Louca et al. 2016),Mn_ox,,
205,Bacillus,(Graf et al. 2014; Jones et al. 2008; Louca et al. 2016),denitrification,varied,
206,Bacteria,(Louca et al. 2016),aerobic_chemoheterotrophy,"Mn, S",
207,Bacteriodes,(Louca et al. 2016),human_gut,,
208,Bacteriovoracaceae,(Louca et al. 2016),predatory_or_exoparasitic,,
209,Bacteriovorax,(Davidov and Jurkevitch 2004; Louca et al. 2016),non-N,nitrate_reduction              ,
210,Bacterium,(Louca et al. 2016),Mn_ox,,
211,Bacteroidaceae,(Louca et al. 2016),fermentation,,
212,Bacteroides,"(Louca et al., 2014)",non-N,cellulolysis human_gut human_pathogens_all human_pathogens_diarrhea ureolysis xylanolysis         ,
213,Bacteroidetes,"(_Anantharaman et al., 2016; Louca et al., 2014)",N_fix N_cycle S_cycle Fe_Cycle H2_ox H2_prod C1_ox aerobic aerobic_chemoheterotrophy       ,,
214,Balneola,(Louca et al. 2016),aerobic_chemoheterotrophy,,
215,Bauldia,(Louca et al. 2016; Yee et al. 2010),non-N,aerobic_chemoheterotrophy methanol_oxidation             ,
216,Bdellovibrio,"(Jones et al., 2008; Graf et al., 2014)",non-N,              ,
217,Bdellovibrionaceae,(Louca et al. 2016),predatory_or_exoparasitic,,
218,Bdellovibrionales,"(_Anantharaman et al., 2016)",C_cycle N_fix N_cycle S_cycle Fe_Cycle H2_ox H2_prod C1_ox aerobic         ,,
219,Beggiatoa,(Louca et al. 2016),ureolysis,,
220,Beijerinckiaceae,(Louca et al. 2016),aerobic_chemoheterotrophy,"methyl, N2 fix",
221,Belliella,"(Graf et al., 2014)",nirK nosZ              ,,
222,Betaproteobacteria,"(_Anantharaman et al., 2016; Louca et al., 2014)",C_cycle N_cycle S_cycle Fe_Cycle H2_ox H2_prod C1_ox aerobic arsenite_oxidation_detoxification dark_iron_oxidation dark_thiosulfate_oxidation nitrate_reduction nitrate_respiration     ,,
223,Betaproteobacterium,(Louca et al. 2016),Fe_oxidation,N,
224,Beutenbergia,(Louca et al. 2016),denitrification,,
225,Bhargavaea,(Louca et al. 2016),aerobic_chemoheterotrophy,N,
226,Bifidobacteriaceae,(Louca et al. 2016),fermentation,,
227,Bifidobacterium,"(Graf et al., 2014; Louca et al., 2014)",non-N,fermentation human_gut human_pathogens_all ureolysis xylanolysis          ,
228,Bizionia,"(Graf et al., 2014; Louca et al., 2014)",nirK norB nosZ ureolysis            ,,
229,Blastobacter,(Louca et al. 2016),methanol_oxidation,N,
230,Blastocatella,(Louca et al. 2016),aerobic_chemoheterotrophy,"cellulolysis, chitinolysis",
231,Blastocatellaceae_family_JGI 0001001-H03,,varied,,
232,Blastochloris,(Louca et al. 2016),anoxygenic_photoautotrophy_S_oxidizing,aromatic_hydrocarbon_degradation photoheterotrophy               ,
233,Blastococcus,"(Graf et al., 2014; Louca et al., 2014)",nirK aerobic_chemoheterotrophy              ,,
234,Blastomonas,(Louca et al. 2016),aerobic_photoheterotroph,aerobic_anoxygenic_phototrophy,
235,Blattabacteriaceae,(Louca et al. 2016),ureolysis,,
236,Blautia,(Liu et al. 2008; Louca et al. 2016),denitrification,"H_red, CO2_red, fermentation, acetogenesis, urea",
238,Bogoriellaceae,(Louca et al. 2016),fermentation,,
239,Bordetella,"(Graf et al., 2014; Louca et al., 2014)",nirS norB nosZ human_pathogens_all ureolysis           ,,
240,Borrelia,(Louca et al. 2016),fermentation,,
241,Bosea,(Das et al. 1996; Jones et al. 2008; Louca et al. 2016),thiosulfate_oxidation,Mn,
242,Brachybacterium,"(Graf et al., 2014; Louca et al., 2014)",nirK norB cellulolysis nitrate_reduction ureolysis           ,,
243,Brachymonas,(Louca et al. 2016),aerobic_chemoheterotrophy,"degradation, N",
244,Brachyspira,(Louca et al. 2016),human_pathogens_all,human_pathogens_diarrhea,
245,Bradyrhizobiaceae,(Louca et al. 2016),aerobic_chemoheterotrophy,"N, urea, pathogen, parasite",
246,Bradyrhizobium,(Graf et al. 2014; Jones et al. 2008; Jordan 1982; Louca et al. 2016),N2_fix,aerobic_chemoheterotrophy nitrate_denitrification nitrate_respiration nitrogen_fixation            ,
247,Brenneria,(Louca et al. 2016),fermentation,"pathogen, urea",
248,Brevibacillus,(Louca et al. 2016),invertebrate_parasites,"N, plant_pathogen, urea",
249,Brevibacteriaceae,(Louca et al. 2016),aerobic_chemoheterotrophy,,
250,Brevibacterium,(Louca et al. 2016),chitinolysis,"fermentation, methanol, N",
251,Brevundimonas,"(Graf et al., 2014; Louca et al., 2014)",nirK plant_pathogen              ,,
252,Brocadia,(Louca et al. 2016),anammox,anammox,
253,Brocadiaceae,(Louca et al. 2016),anammox,anammox,
254,Brucella,(Graf et al. 2014; Jones et al. 2008; Louca et al. 2016),nirK norB nosZ human_pathogens_all            ,,
255,Brucellaceae,(Louca et al. 2016),animal_parasites_or_symbionts,intracellular_parasites nitrate_respiration               ,
256,Bryobacter,(Kulichevskaya et al. 2010; Louca et al. 2016),non-N,aerobic_chemoheterotrophy              ,
257,Bryocella,(Louca et al. 2016),aerobic_chemoheterotrophy,,
258,Burgholderia,(Louca et al. 2016),N2_fix,,
259,Burkholderia,(Graf et al. 2014a; Louca et al. 2016; Yabuuchi et al. 1992),non-N,aerobic_chemoheterotrophy aerobic_nitrite_oxidation animal_parasites_or_symbionts aromatic_compound_degradation aromatic_hydrocarbon_degradation chitinolysis dark_sulfite_oxidation dark_sulfur_oxidation dark_thiosulfate_oxidation human_pathogens_all human_pathogens_pneumonia nitrate_reduction nitrate_respiration nitrogen_fixation plant_pathogen,
260,Burkholderiaceae,(Louca et al. 2016),aerobic_chemoheterotrophy,"fermentation, N",
261,Burkholderiales,"(_Graf et al., 2014; Louca et al., 2014; _Anantharaman et al., 2016)",nirS norB C_fix N_fix N_cycle S_cycle Fe_Cycle H2_ox H2_prod C1_ox aerobic human_pathogens_all human_pathogens_pneumonia   ,,
262,Butyribacterium,(Louca et al. 2016),reductive_acetogenesis,,
263,Butyrivibrio,"(Louca et al., 2014)",cellulolysis,xylan,
264,Butyvivibrio,(Louca et al. 2016),fermentation,,
265,Byssophaga,(Louca et al. 2016),cellulolysis,,
266,Byssovorax,(Louca et al. 2016),cellulolysis,,
268,Caldalkalibacillus,"(Graf et al., 2014)",nirK               ,,
269,Caldanaerobacter,"(Louca et al., 2014)",cellulolysis,S ,
270,Caldiarchaeum,(Louca et al. 2016),aerobic_chemoheterotrophy,aerobic_ammonia_oxidation,
271,Caldibacillus,(Louca et al. 2016),cellulolysis,,
272,Caldicellulosiruptor,"(Louca et al., 2014)",cellulolysis,xylan,
273,Caldicoprobacter,(Louca et al. 2016),fermentation,xylanolysis,
274,Caldilinea,"(Graf et al., 2014)",nosZ              ,,
275,Caldimicrobium,(Louca et al. 2016),H_ox,#REF!,
276,Caldimonas,(Louca et al. 2016),Mn_ox,,
277,Calditerrivibrio,(Louca et al. 2016),DNRA,,
278,Caldithrix,"(_Anantharaman et al., 2016; Louca et al., 2014)",H2_ox,H2_prod,
279,Caldivirga,(Jones et al. 2008; Louca et al. 2016),nirK norB sulfate_respiration sulfur_respiration thiosulfate_respiration           ,,
280,Caldocellum,(Louca et al. 2016),cellulolysis,xylan,
281,Caloramator,(Louca et al. 2016),fermentation,"acetogenesis, xylan",
282,Calymmatobacterium,(Louca et al. 2016),human_pathogens_all,,
283,Caminibacter,(Louca et al. 2016),H_ox,#REF!,
284,Campylobacter,(Graf et al. 2014; Jones et al. 2008; Louca et al. 2016),norB nosZ dissimilatory sulfite reduction fumarate_respiration human_gut human_pathogens_all human_pathogens_diarrhea human_pathogens_gastroenteritis human_pathogens_meningitis human_pathogens_septicemia nitrate_reduction nitrate_respiration nitrite_ammonification,,
285,Campylobacteraceae,(Louca et al. 2016),animal_parasites_or_symbionts,sulfur_respiration                ,
286,candidate division CPR2,"(_Anantharaman et al., 2016)",S_cycle H2_ox H2_prod aerobic   ,,
287,candidate division CPR3,"(_Anantharaman et al., 2016)",aerobic_chemoheterotrophy,aerobic,
288,candidate division Kaza,"(_Anantharaman et al., 2016)",aerobic_chemoheterotrophy,aerobic,
289,candidate division KSB1,"(_Anantharaman et al., 2016)",H2_ox,H2_prod,
290,candidate division NC1,"(_Anantharaman et al., 2016)",N_cycle Fe_Cycle C1_ox aerobic            ,,
291,candidate division TM6,"(_Anantharaman et al., 2016)",aerobic_chemoheterotrophy,aerobic,
292,candidate division WOR-1,"(_Anantharaman et al., 2016)",S_cycle H2_ox H2_prod C1_ox aerobic  ,,
293,candidate division WOR-3,"(_Anantharaman et al., 2016)",H2_ox,,
294,candidate division WS6,"(_Anantharaman et al., 2016)",S_cycle aerobic     ,,
295,candidate division WWE3,"(_Anantharaman et al., 2016)",S_cycle H2_ox H2_prod aerobic   ,,
296,candidate division Zixibacteria,"(_Anantharaman et al., 2016)",N_fix N_cycle S_cycle Fe_Cycle H2_ox H2_prod aerobic         ,,
297,Candidatus Abawacabacteria,"(_Anantharaman et al., 2016)",aerobic_chemoheterotrophy,aerobic,
298,Candidatus Accumulibacter,(Graf et al. 2014a; Mao et al. 2015),Polyphosphate-accumulating,,
299,Candidatus Adlerbacteria,"(_Anantharaman et al., 2016)",aerobic_chemoheterotrophy,aerobic,
300,Candidatus Amesbacteria,"(_Anantharaman et al., 2016)",S_cycle aerobic     ,,
301,Candidatus Aminicenantes,"(_Anantharaman et al., 2016)",C_cycle N_cycle S_cycle Fe_Cycle H2_ox H2_prod aerobic           ,,
302,Candidatus Andersenbacteria,"(_Anantharaman et al., 2016)",S_cycle H2_ox H2_prod aerobic   ,,
303,Candidatus Atribacteria,"(_Anantharaman et al., 2016)",H2_prod,,
304,Candidatus Azambacteria,"(_Anantharaman et al., 2016)",N_cycle S_cycle H2_ox H2_prod aerobic           ,,
305,Candidatus babela,(Pagnier et al. 2015),non-N,              ,
306,Candidatus Bathyarchaeota,"(_Anantharaman et al., 2016)",C_cycle S_cycle Fe_Cycle H2_ox H2_prod C1_ox aerobic           ,,
307,Candidatus Beckwithbacteria,"(_Anantharaman et al., 2016)",S_cycle H2_ox H2_prod aerobic   ,,
308,Candidatus Berkelbacteria,"(_Anantharaman et al., 2016)",S_cycle H2_ox H2_prod aerobic   ,,
309,Candidatus Blackburnbacteria,"(_Anantharaman et al., 2016)",aerobic_chemoheterotrophy,aerobic,
310,Candidatus Brennerbacteria,"(_Anantharaman et al., 2016)",aerobic_chemoheterotrophy,aerobic,
311,Candidatus Brocadia,(Starke et al. 2017),anammox,Ammox,
