,gen,fun_consol,ref_consol
28,Acidisphaera,aerobic_anoxygenic_phototrophy,FAPROTAXv1.1
29,Aciditerrimonas,aerobic_chemoheterotrophy iron_respiration,FAPROTAXv1.1
30,Acidithiobacillus,dark_iron_oxidation dark_sulfur_oxidation dark_thiosulfate_oxidation,FAPROTAXv1.1
31,Acidithiomicrobium,dark_iron_oxidation dark_sulfur_oxidation,FAPROTAXv1.1
32,Acidobacteria,"C_fix   N_cycle  S_cycle  Fe_Cycle  H2_ox  H2_prod  C1_ox  aerobic, aerobic_chemoheterotrophy","(Antharaman et al., 2016), FAPROTAXv1.1"
33,Acidobacteriaceae,aerobic_chemoheterotrophy,FAPROTAXv1.1
34,Acidobacteriales,aerobic_chemoheterotrophy,FAPROTAXv1.1
35,Acidobacterium,"non-N, aerobic_chemoheterotrophy xylanolysis","(Kishimoto et al., 1991) (Jones et al., 2008), FAPROTAXv1.1"
36,Acidothermaceae,aerobic_chemoheterotrophy cellulolysis,FAPROTAXv1.1
37,Acidothermus,"nirK, cellulolysis","(Graf et al., 2014), FAPROTAXv1.1"
38,Acidovorax,"non-N, aerobic_chemoheterotrophy cellulolysis dark_hydrogen_oxidation dark_iron_oxidation knallgas_bacteria nitrate_denitrification nitrate_respiration plant_pathogen","(Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1"
39,Acinetobacter,"non-N, aerobic_chemoheterotrophy aromatic_compound_degradation aromatic_hydrocarbon_degradation dark_sulfide_oxidation human_pathogens_all human_pathogens_nosocomia human_pathogens_pneumonia human_pathogens_septicemia manganese_oxidation nitrate_reduction  plastic_degradation","(Cicconi et al) (Antharaman et al., 2016), FAPROTAXv1.1"
40,Acrocarpospora,nitrate_reduction,FAPROTAXv1.1
41,Actinoallomurus,aerobic_chemoheterotrophy,FAPROTAXv1.1
42,Actinobacillus,"nirK  norB, animal_parasites_or_symbionts fumarate_respiration nitrate_reduction  ureolysis","(Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1"
43,Actinobacteria,C_fix   N_cycle  S_cycle   H2_ox  H2_prod  C1_ox  aerobic,"(Antharaman et al., 2016)"
44,Actinobacteria_phylum_hgcI clade,varied,0
45,Actinobaculum,fermentation,FAPROTAXv1.1
46,Actinocatenispora,aerobic_chemoheterotrophy nitrate_reduction,FAPROTAXv1.1
47,Actinocorallia,nitrate_reduction  ureolysis xylanolysis,FAPROTAXv1.1
48,Actinomadura,nitrate_reduction  ureolysis xylanolysis,FAPROTAXv1.1
49,Actinomyces,"nirK  norB, chitinolysis human_pathogens_all human_pathogens_septicemia nitrate_reduction","(Graf et al., 2014), FAPROTAXv1.1"
50,Actinomycetaceae,fermentation,FAPROTAXv1.1
51,Actinoplanes,"nirK, nitrate_reduction  xylanolysis","(Graf et al., 2014), FAPROTAXv1.1"
52,Actinopolymorpha,aerobic_chemoheterotrophy nitrate_reduction  ureolysis,FAPROTAXv1.1
53,Actinopolyspora,xylanolysis,FAPROTAXv1.1
54,Actinospicaceae,aerobic_chemoheterotrophy,FAPROTAXv1.1
55,Actinosynnema,"nirK, nitrate_reduction","(Graf et al., 2014), FAPROTAXv1.1"
56,Actinotalea,"Cellulolytic+, aerobic_chemoheterotrophy cellulolysis fermentation nitrate_reduction  xylanolysis","(Bagra et al., 1985). (Yi et al., 2007), FAPROTAXv1.1"
57,ADurb.Bin063-1,varied_archaea,
58,Aequorivita,nirK   nosZ,"(Graf et al., 2014)"
59,Aeriscardovia,fermentation,FAPROTAXv1.1
60,Aerobacter,fermentation,FAPROTAXv1.1
61,Aerococcaceae,fermentation,FAPROTAXv1.1
62,Aerococcus,fermentation,FAPROTAXv1.1
63,Aeromicrobium,cellulolysis nitrate_reduction,FAPROTAXv1.1
64,Aeromonadaceae,fermentation nitrate_reduction,FAPROTAXv1.1
65,Aeromonas,"non-N, animal_parasites_or_symbionts arsenate_detoxification chitinolysis DNRA fermentation human_pathogens_all human_pathogens_meningitis iron_respiration","{Janda, J. M. and S. L. Abbott (1998)} (Graf et al., 2014), FAPROTAXv1.1"
66,Aetherobacter,non-N,"(Garcia et al., 2016)"
67,Afipia,"nirK  norB  nosZ, nitrate_reduction","(Graf et al., 2014), FAPROTAXv1.1"
68,Agaricus,cellulolysis,FAPROTAXv1.1
69,Agreia,aerobic_chemoheterotrophy,FAPROTAXv1.1
70,Agrobacterium,"non-N, arsenite_oxidation_detoxification dissimilatory oxidation of arsenite for energy not photosynthesis plant_pathogen plastic_degradation","(Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1"
71,Agrococcus,aerobic_chemoheterotrophy,FAPROTAXv1.1
72,Agromonas,aerobic_chemoheterotrophy nitrogen_fixation,FAPROTAXv1.1
73,Agromyces,cellulolysis nitrate_reduction  xylanolysis,FAPROTAXv1.1
74,Agromyces ulmi,xylanolysis,FAPROTAXv1.1
75,Ajellomyces,nirK  norB,"(Graf et al., 2014)"
76,Akkermansia,non-N,"(Derrien et al., 2004)"
77,Akkermansiaceae,fermentation,FAPROTAXv1.1
78,Albidiferax,fumarate_respiration iron_respiration manganese_respiration,FAPROTAXv1.1
79,Alcaligenaceae,aerobic_chemoheterotrophy animal_parasites_or_symbionts nitrate_reduction  nitrate_respiration nitrogen_fixation,FAPROTAXv1.1
80,Alcaligenes,"nirK  norB  nosZ, arsenite_oxidation_detoxification dark_sulfide_oxidation human_pathogens_all nitrate_denitrification nitrate_reduction  nitrate_respiration nitrite_denitrification plastic_degradation xylanolysis","(Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1"
81,Alcanivoraceae,aliphatic_non_methane_hydrocarbon_degradation nitrate_reduction,FAPROTAXv1.1
82,Alcanivorax,"nirK  norB  nosZ, aliphatic_non_methane_hydrocarbon_degradation oil_bioremediation","(Graf et al., 2014), FAPROTAXv1.1"
83,Algiphilus,aliphatic_non_methane_hydrocarbon_degradation aromatic_hydrocarbon_degradation,FAPROTAXv1.1
84,Algisphaera,aerobic_chemoheterotrophy ureolysis,FAPROTAXv1.1
85,Algorimarina,non-N,"(Kendall et al., 2006)"
86,Alicycliphilus,"nirK nirS norB nosZ, nitrate_respiration","(Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1"
87,Alicyclobacillaceae,aerobic_chemoheterotrophy,FAPROTAXv1.1
88,Alicyclobacillus,"Denitrification, aerobic_chemoheterotrophy dark_iron_oxidation dark_sulfide_oxidation dark_sulfur_oxidation nitrate_reduction","(Wisotzkey et al., 1992) (Graf et al., 2014) , (Antharaman et al., 2016), FAPROTAXv1.1"
89,Aliivibrio,fermentation nitrate_reduction,FAPROTAXv1.1
90,Alistipes,fermentation human_gut,FAPROTAXv1.1
91,Alkalibacillus,nitrate_reduction,FAPROTAXv1.1
92,Alkalibacterium,aerobic_chemoheterotrophy cellulolysis fermentation xylanolysis,FAPROTAXv1.1
93,Alkalibaculum,dark_hydrogen_oxidation methanol_oxidation reductive_acetogenesis,FAPROTAXv1.1
94,Alkaliflexus,xylanolysis,FAPROTAXv1.1
95,Alkalilimnicola,norB nosZ,"(Jones et al., 2008) , (Graf et al., 2014)"
96,Alkalimarinus,aerobic_chemoheterotrophy fermentation,FAPROTAXv1.1
97,Alkaliphilus,fumarate_respiration iron_respiration thiosulfate_respiration,FAPROTAXv1.1
98,Alkalitalea,fermentation xylanolysis,FAPROTAXv1.1
99,Alkanibacter,non-N,"(Friedrich and Lipski, 2008)"
100,Alkanindiges,"non-N, aliphatic_non_methane_hydrocarbon_degradation","{Bogan, B. W., et al. (2003)}, FAPROTAXv1.1"
101,Allocatelliglobosispora,aerobic_chemoheterotrophy,FAPROTAXv1.1
102,Allochromatium,aerobic_anoxygenic_phototrophy dark_sulfide_oxidation nitrogen_fixation ureolysis,FAPROTAXv1.1
103,Allorhizobium,nitrogen_fixation,FAPROTAXv1.1
104,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,N fixation,"{Mousavi, S. A., et al. (2014)}"
105,Alloscardovia,fermentation,FAPROTAXv1.1
106,Alphaproteobacteria,"N_cycle  S_cycle   H2_ox  H2_prod  C1_ox  aerobic, dark_thiosulfate_oxidation dissimilatory oxidation of arsenite for energy not photosynthesis intracellular_parasites","(Antharaman et al., 2016), FAPROTAXv1.1"
107,Altererythrobacter,non-N,"{Kwon, K. K., et al. (2007)}"
108,Alterococcus,fermentation,FAPROTAXv1.1
109,Alteromonadaceae,aerobic_chemoheterotrophy aromatic_compound_degradation cellulolysis chitinolysis fermentation hydrocarbon_degradation nitrate_reduction  nitrate_respiration thiosulfate_respiration xylanolysis,FAPROTAXv1.1
110,Alteromonas,aerobic_chemoheterotrophy chitinolysis,FAPROTAXv1.1
111,Altuibacter,aerobic_chemoheterotrophy,FAPROTAXv1.1
112,Alvinella,manganese_oxidation,FAPROTAXv1.1
113,Ambiguous_taxa,unclassified,
114,Aminobacter,nitrate_respiration,FAPROTAXv1.1
115,Aminobacterium,fermentation,FAPROTAXv1.1
116,Aminomonas,fermentation,FAPROTAXv1.1
117,Ammonifex,dark_hydrogen_oxidation dark_iron_oxidation DNRA fermentation sulfate_respiration sulfur_respiration,FAPROTAXv1.1
118,Ammoniphilus,aerobic_chemoheterotrophy,FAPROTAXv1.1
119,Amnibacterium,aerobic_chemoheterotrophy,FAPROTAXv1.1
120,Amorphus,aerobic_chemoheterotrophy ureolysis,FAPROTAXv1.1
121,Amphibacillus,xylanolysis,FAPROTAXv1.1
122,Amycolatopsis,aerobic_chemoheterotrophy ureolysis xylanolysis,FAPROTAXv1.1
123,Amycolicicoccus,aerobic_chemoheterotrophy nitrate_reduction,FAPROTAXv1.1
124,Anabaena,nitrogen_fixation,FAPROTAXv1.1
125,Anaerobacillus,arsenate_respiration fermentation nitrogen_fixation,FAPROTAXv1.1
126,Anaerobaculum,fermentation,FAPROTAXv1.1
127,Anaerobiospirillum,animal_parasites_or_symbionts,FAPROTAXv1.1
128,Anaerocellum,cellulolysis,FAPROTAXv1.1
129,Anaerococcus,"non-N, fermentation","(Ezaki et al., 2001), FAPROTAXv1.1"
130,Anaerolinaceae WCHB1-05,Cellulolytic,"(Xia et al., 2016)"
131,Anaerolinea,"Cellulolytic, fermentation","(Graf et al., 2014) , (Antharaman et al., 2016), FAPROTAXv1.1"
132,Anaerolineaceae,fermentation,FAPROTAXv1.1
133,Anaeromyxobacter,"Denitrification, aerobic_chemoheterotrophy arsenate_respiration DNRA fumarate_respiration iron_respiration knallgas_bacteria nitrate_respiration","(He and Sanford, 2003) (Jones et al., 2008) , (Graf et al., 2014) , (Antharaman et al., 2016), FAPROTAXv1.1"
134,Anaerophaga,fermentation,FAPROTAXv1.1
135,Anaeroplasmataceae,fermentation,FAPROTAXv1.1
136,Anaerospora,non-N,"(Woo et al., 2005)_"
137,Anaerotruncus,human_gut,FAPROTAXv1.1
138,Anammoximicrobium,anammox,FAPROTAXv1.1
139,Anaplasmataceae,animal_parasites_or_symbionts,FAPROTAXv1.1
140,Ancalochloris,anoxygenic_photoautotrophy_S_oxidizing,FAPROTAXv1.1
141,Ancalomicrobium,aerobic_chemoheterotrophy,FAPROTAXv1.1
142,Ancyclobacter,ureolysis,FAPROTAXv1.1
143,Ancylobacter,aerobic_chemoheterotrophy dark_hydrogen_oxidation dark_sulfide_oxidation dark_sulfur_oxidation dark_thiosulfate_oxidation dissimilatory oxidation of arsenite for energy not photosynthesis nitrate_reduction,FAPROTAXv1.1
144,Andreprevotia,aerobic_chemoheterotrophy,FAPROTAXv1.1
145,Aneurinibacillus,ligninolysis nitrate_reduction,FAPROTAXv1.1
146,Angulomicrobium,aerobic_chemoheterotrophy,FAPROTAXv1.1
147,Angustibacter,aerobic_chemoheterotrophy,FAPROTAXv1.1
148,Anoxybacillus,nitrate_respiration xylanolysis,FAPROTAXv1.1
149,Antricoccus,aerobic_chemoheterotrophy,FAPROTAXv1.1
150,Aphanothece,anoxygenic_photoautotrophy_H2_oxidizing,FAPROTAXv1.1
151,Aquabacter,nitrate_reduction,FAPROTAXv1.1
152,Aquabacterium,"Denitrification, dark_iron_oxidation","(Kalmbach et al., 1999), FAPROTAXv1.1"
153,Aquabacteriuma,ureolysis,FAPROTAXv1.1
154,Aquaspirillum,aerobic_chemoheterotrophy dark_hydrogen_oxidation fumarate_respiration nitrate_denitrification nitrate_reduction  nitrate_respiration ureolysis,FAPROTAXv1.1
155,Aquibacter,aerobic_chemoheterotrophy nitrate_reduction,FAPROTAXv1.1
156,Aquicella,non-N,"(Santos et al., 2003)"
157,Aquifex,dark_iron_oxidation dark_sulfur_oxidation dark_thiosulfate_oxidation knallgas_bacteria nitrate_respiration,FAPROTAXv1.1
158,Aquificaceae,dark_hydrogen_oxidation dark_sulfur_oxidation dark_thiosulfate_oxidation knallgas_bacteria nitrate_denitrification nitrate_respiration,FAPROTAXv1.1
159,Aquificae,nitrate_reduction,FAPROTAXv1.1
160,Aquificales,dark_sulfur_oxidation dark_thiosulfate_oxidation knallgas_bacteria,FAPROTAXv1.1
161,Aquincola,aerobic_chemoheterotrophy,FAPROTAXv1.1
162,Aquipuribacter,aerobic_chemoheterotrophy nitrate_reduction,FAPROTAXv1.1
163,Aquitalea,aerobic_chemoheterotrophy fermentation nitrate_denitrification,FAPROTAXv1.1
164,Arcanobacterium,nitrate_reduction,FAPROTAXv1.1
165,Archaea,aerobic_ammonia_oxidation hydrogenotrophic_methanogenesis methanotrophy nitrate_respiration,FAPROTAXv1.1
166,Archaeoglobaceae,chemoheterotrophy dark_hydrogen_oxidation dark_iron_oxidation dark_sulfide_oxidation nitrate_respiration sulfate_respiration thiosulfate_respiration,FAPROTAXv1.1
167,Archaeoglobi,iron_respiration,FAPROTAXv1.1
168,Archaeoglobus,dark_hydrogen_oxidation dissimilatory sulfite reduction sulfate_respiration thiosulfate_respiration,FAPROTAXv1.1
169,archaeon,C_fix    S_cycle   H2_ox  H2_prod   aerobic,"(Antharaman et al., 2016)"
170,Archangium,cellulolysis,FAPROTAXv1.1
171,Arcicella,aerobic_chemoheterotrophy nitrate_reduction,FAPROTAXv1.1
172,Arcobacter,"Denitrification, aerobic_chemoheterotrophy animal_parasites_or_symbionts dark_sulfide_oxidation fumarate_respiration human_pathogens_all human_pathogens_gastroenteritis nitrate_denitrification nitrate_reduction  nitrogen_fixation ureolysis","(Pati et al., 2010), FAPROTAXv1.1"
173,Arctic96BD-19,dark_sulfide_oxidation nitrate_respiration,FAPROTAXv1.1
174,Arcticibacter,aerobic_chemoheterotrophy cellulolysis,FAPROTAXv1.1
175,Ardenticatena,aerobic_chemoheterotrophy iron_respiration nitrate_respiration,FAPROTAXv1.1
176,Arenibacter,nitrate_reduction  ureolysis,FAPROTAXv1.1
177,Arenicella,aerobic_chemoheterotrophy chitinolysis,FAPROTAXv1.1
178,Arenimonas,"non-N, nitrate_reduction  ureolysis","(Kwon et al., 2007), FAPROTAXv1.1"
179,Arhodomonas,aerobic_chemoheterotrophy knallgas_bacteria nitrate_respiration ureolysis,FAPROTAXv1.1
180,Armatimonadetes,C_fix   N_cycle  S_cycle   H2_ox  H2_prod   aerobic,"(Antharaman et al., 2016)"
181,Aromatoleum,nirS norB  nosZ,"(Graf et al., 2014)"
182,Arsenicicoccus,aerobic_chemoheterotrophy nitrate_reduction,FAPROTAXv1.1
183,Arsenicoccus,arsenate_detoxification,FAPROTAXv1.1
184,Arthrobacter,"Nitrite oxidation, aerobic_chemoheterotrophy aliphatic_non_methane_hydrocarbon_degradation arsenate_detoxification chitinolysis DNRA fermentation ligninolysis manganese_oxidation methanol_oxidation nitrate_reduction  nitrate_respiration plant_pathogen plastic_degradation ureolysis","(Graf et al., 2014), FAPROTAXv1.1"
185,Arthroderma,nirK  norB,"(Graf et al., 2014)"
186,Aspergillus,"nirK  norB, cellulolysis xylanolysis","(Graf et al., 2014), FAPROTAXv1.1"
187,Asticcacaulis,aerobic_chemoheterotrophy,FAPROTAXv1.1
188,Atopobium,nirK,"(Graf et al., 2014)"
189,Aurantimicrobium,non-N,"{kai, R., et al. (2015)}"
190,Aurantimonas,aerobic_chemoheterotrophy manganese_oxidation ureolysis,FAPROTAXv1.1
191,Aureimonas,aerobic_chemoheterotrophy,FAPROTAXv1.1
192,Aureispira,cellulolysis,FAPROTAXv1.1
193,Aureitalea,aerobic_chemoheterotrophy nitrate_respiration,FAPROTAXv1.1
194,Aureobacterium,plastic_degradation,FAPROTAXv1.1
195,Austwickia,nirK  norB,"(Graf et al., 2014)"
196,Avibacterium,nirK,"(Graf et al., 2014)"
197,Azoarcus,"N fixation, aerobic_chemoheterotrophy aromatic_compound_degradation aromatic_hydrocarbon_degradation dark_sulfide_oxidation dark_sulfite_oxidation dark_thiosulfate_oxidation fermentation nitrate_denitrification nitrate_reduction  nitrate_respiration nitrite_respiration nitrogen_fixation","(Reinhold-Hurek et al., 1993) (Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1"
198,Azospira,dark_iron_oxidation nitrate_respiration,FAPROTAXv1.1
199,Azospirillium,nirS  nosZ,"(Jones et al., 2008)"
200,Azospirillum,"N fixation, aerobic_chemoheterotrophy fermentation nitrate_denitrification nitrate_respiration nitrogen_fixation","(Steenhoudt and Vanderleyden, 2000) (Graf et al., 2014), FAPROTAXv1.1"
201,Azotobacter,aerobic_chemoheterotrophy nitrate_reduction  nitrogen_fixation,FAPROTAXv1.1
202,Azovibrio,norB,"(Jones et al., 2008)"
203,Bacillaceae,aerobic_chemoheterotrophy fermentation nitrate_reduction,FAPROTAXv1.1
204,Bacillales,manganese_oxidation,FAPROTAXv1.1
205,Bacillus,"Denitrification, aerobic_chemoheterotrophy aromatic_compound_degradation arsenate_detoxification arsenate_respiration cellulolysis chitinolysis dark_hydrogen_oxidation dark_thiosulfate_oxidation dissimilatory oxidation of arsenite for energy not photosynthesis DNRA fermentation fumarate_respiration human_pathogens_pneumonia invertebrate_parasites  iron_respiration knallgas_bacteria ligninolysis manganese_oxidation manganese_respiration methanol_oxidation methanotrophy nitrate_denitrification nitrate_reduction nitrate_respiration nitrite_denitrification nitrite_respiration nitrous_oxide_denitrification plant_pathogen plastic_degradation thiosulfate_respiration ureolysis xylanolysis","(Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1"
206,Bacteria,aerobic_chemoheterotrophy manganese_oxidation sulfate_respiration,FAPROTAXv1.1
207,Bacteriodes,human_gut,FAPROTAXv1.1
208,Bacteriovoracaceae,predatory_or_exoparasitic,FAPROTAXv1.1
209,Bacteriovorax,"non-N, nitrate_reduction","(Davidov and Jurkevitch, 2004), FAPROTAXv1.1"
210,Bacterium,manganese_oxidation,FAPROTAXv1.1
211,Bacteroidaceae,fermentation,FAPROTAXv1.1
212,Bacteroides,"non-N, cellulolysis human_gut human_pathogens_all human_pathogens_diarrhea ureolysis xylanolysis",", FAPROTAXv1.1"
213,Bacteroidetes,"N_fix  N_cycle  S_cycle  Fe_Cycle  H2_ox  H2_prod  C1_ox  aerobic, aerobic_chemoheterotrophy","(Antharaman et al., 2016), FAPROTAXv1.1"
214,Balneola,aerobic_chemoheterotrophy,FAPROTAXv1.1
215,Bauldia,"non-N, aerobic_chemoheterotrophy methanol_oxidation","{Yee, B., et al. (2010)}, FAPROTAXv1.1"
216,Bdellovibrio,non-N,"(Jones et al., 2008) , (Graf et al., 2014)"
217,Bdellovibrionaceae,predatory_or_exoparasitic,FAPROTAXv1.1
218,Bdellovibrionales,C_fix  N_fix  N_cycle  S_cycle  Fe_Cycle  H2_ox  H2_prod  C1_ox  aerobic,"(Antharaman et al., 2016)"
219,Beggiatoa,ureolysis,FAPROTAXv1.1
220,Beijerinckiaceae,aerobic_chemoheterotrophy methylotrophy nitrogen_fixation,FAPROTAXv1.1
221,Belliella,nirK   nosZ,"(Graf et al., 2014)"
222,Betaproteobacteria,"C_fix   N_cycle  S_cycle  Fe_Cycle  H2_ox  H2_prod  C1_ox  aerobic, arsenite_oxidation_detoxification dark_iron_oxidation dark_thiosulfate_oxidation nitrate_reduction  nitrate_respiration","(Antharaman et al., 2016), FAPROTAXv1.1"
223,Betaproteobacterium,dark_iron_oxidation nitrate_respiration,FAPROTAXv1.1
224,Beutenbergia,nitrate_reduction,FAPROTAXv1.1
225,Bhargavaea,aerobic_chemoheterotrophy nitrate_reduction,FAPROTAXv1.1
226,Bifidobacteriaceae,fermentation,FAPROTAXv1.1
227,Bifidobacterium,"non-N, fermentation human_gut human_pathogens_all ureolysis xylanolysis","(Graf et al., 2014), FAPROTAXv1.1"
228,Bizionia,"nirK  norB  nosZ, ureolysis","(Graf et al., 2014), FAPROTAXv1.1"
229,Blastobacter,methanol_oxidation nitrate_denitrification nitrate_reduction,FAPROTAXv1.1
230,Blastocatella,aerobic_chemoheterotrophy cellulolysis chitinolysis,FAPROTAXv1.1
231,Blastocatellaceae_family_JGI 0001001-H03,varied,
232,Blastochloris,anoxygenic_photoautotrophy_S_oxidizing aromatic_hydrocarbon_degradation photoheterotrophy,FAPROTAXv1.1
233,Blastococcus,"nirK, aerobic_chemoheterotrophy","(Graf et al., 2014), FAPROTAXv1.1"
234,Blastomonas,aerobic_anoxygenic_phototrophy,FAPROTAXv1.1
235,Blattabacteriaceae,ureolysis,FAPROTAXv1.1
236,Blautia,"Denitrification, dark_hydrogen_oxidation fermentation human_gut reductive_acetogenesis","(Liu et al., 2008) (M™ller and Frerichs, 2013), FAPROTAXv1.1"
237,Blvii28,non-N,
238,Bogoriellaceae,fermentation,FAPROTAXv1.1
239,Bordetella,"nirS norB  nosZ, human_pathogens_all ureolysis","(Graf et al., 2014), FAPROTAXv1.1"
240,Borrelia,fermentation,FAPROTAXv1.1
241,Bosea,"Thiosulfate oxidation, aerobic_chemoheterotrophy dark_thiosulfate_oxidation manganese_oxidation","(Das et al., 1996) (Jones et al., 2008), FAPROTAXv1.1"
242,Brachybacterium,"nirK  norB, cellulolysis nitrate_reduction  ureolysis","(Graf et al., 2014), FAPROTAXv1.1"
243,Brachymonas,aerobic_chemoheterotrophy aromatic_hydrocarbon_degradation nitrate_denitrification nitrate_reduction,FAPROTAXv1.1
244,Brachyspira,human_pathogens_all human_pathogens_diarrhea,FAPROTAXv1.1
245,Bradyrhizobiaceae,aerobic_chemoheterotrophy aerobic_nitrite_oxidation dark_oxidation_of_sulfur_compounds human_pathogens_all nitrate_reduction  nitrate_respiration nitrogen_fixation photoheterotrophy ureolysis,FAPROTAXv1.1
246,Bradyrhizobium,"N fixation, aerobic_chemoheterotrophy nitrate_denitrification nitrate_respiration nitrogen_fixation","(Jordan, 1982) (Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1"
247,Brenneria,fermentation plant_pathogen ureolysis,FAPROTAXv1.1
248,Brevibacillus,invertebrate_parasites  nitrate_reduction plant_pathogen ureolysis,FAPROTAXv1.1
249,Brevibacteriaceae,aerobic_chemoheterotrophy,FAPROTAXv1.1
250,Brevibacterium,chitinolysis fermentation methanol_oxidation nitrate_reduction  plastic_degradation ureolysis,FAPROTAXv1.1
251,Brevundimonas,"nirK, plant_pathogen","(Graf et al., 2014), FAPROTAXv1.1"
252,Brocadia,anammox,FAPROTAXv1.1
253,Brocadiaceae,anammox,FAPROTAXv1.1
254,Brucella,"nirK  norB nosZ, human_pathogens_all","(Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1"
255,Brucellaceae,animal_parasites_or_symbionts intracellular_parasites nitrate_respiration,FAPROTAXv1.1
256,Bryobacter,"non-N, aerobic_chemoheterotrophy","{Kulichevskaya, I. S., et al. (2010)}, FAPROTAXv1.1"
257,Bryocella,aerobic_chemoheterotrophy,FAPROTAXv1.1
258,Burgholderia,nitrogen_fixation,FAPROTAXv1.1
259,Burkholderia,"non-N, aerobic_chemoheterotrophy aerobic_nitrite_oxidation animal_parasites_or_symbionts aromatic_compound_degradation aromatic_hydrocarbon_degradation chitinolysis dark_sulfite_oxidation dark_sulfur_oxidation dark_thiosulfate_oxidation human_pathogens_all human_pathogens_pneumonia nitrate_reduction  nitrate_respiration nitrogen_fixation plant_pathogen plastic_degradation ureolysis","(Yabuuchi et al., 1992) (Graf et al., 2014), FAPROTAXv1.1"
260,Burkholderiaceae,aerobic_chemoheterotrophy fermentation nitrate_reduction  nitrate_respiration predatory_or_exoparasitic,FAPROTAXv1.1
261,Burkholderiales,"nirS norB ,  C_fix  N_fix  N_cycle  S_cycle  Fe_Cycle  H2_ox  H2_prod  C1_ox  aerobic, human_pathogens_all human_pathogens_pneumonia","(Graf et al., 2014) , (Antharaman et al., 2016), FAPROTAXv1.1"
262,Butyribacterium,reductive_acetogenesis,FAPROTAXv1.1
263,Butyrivibrio,"Cellulolytic, cellulolysis human_gut xylanolysis",", FAPROTAXv1.1"
264,Butyvivibrio,fermentation,FAPROTAXv1.1
265,Byssophaga,cellulolysis,FAPROTAXv1.1
266,Byssovorax,cellulolysis,FAPROTAXv1.1
267,C39,non-N,
268,Caldalkalibacillus,nirK,"(Graf et al., 2014)"
269,Caldanaerobacter,"Cellulolytic, dissimilatory sulfite reduction",", FAPROTAXv1.1"
270,Caldiarchaeum,aerobic_ammonia_oxidation,FAPROTAXv1.1
271,Caldibacillus,cellulolysis,FAPROTAXv1.1
272,Caldicellulosiruptor,"Cellulolytic, cellulolysis fermentation xylanolysis",", FAPROTAXv1.1"
